N,M,alpha,beta,e,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
4461,2048,0.300000,5.000000,0.010000,30.471084,28.225812,28.030102,28.488796,29.578490,28.542809,27.751511,26.928447,28.318138,27.925910,28.386134,26.866472,28.062573,26.606718,27.755834,30.161265,28.755758,27.082684,26.727349,26.277587,27.255941,25.515690,27.596769,25.557710,26.916837,28.341542,27.842129,26.469299,26.027374,27.016078
4461,3072,0.300000,5.000000,0.010000,32.766903,33.545510,34.931681,33.947858,33.105086,33.334600,32.049401,32.450400,34.267076,31.410281,34.514363,33.344937,33.093258,33.226661,33.621397,32.679958,31.093633,30.863626,32.530014,34.531610,32.430042,31.913321,32.208589,31.573400,32.547351,31.542957,33.477784,31.499753,33.021365,33.190951
4461,4096,0.300000,5.000000,0.010000,38.983242,40.180103,39.912875,38.199350,39.929112,38.201556,41.003390,39.858381,39.238271,41.420588,39.720211,38.024351,41.007766,40.248055,40.623809,39.596957,38.648912,40.220262,41.233992,39.677349,41.117679,39.956989,41.906814,39.424264,39.876008,38.141440,37.580076,36.653331,39.622089,37.301671
4461,5120,0.300000,5.000000,0.010000,44.017983,47.067078,44.711726,44.281693,44.425558,44.405860,45.462882,44.675577,44.703538,44.801993,46.304954,44.218608,46.575208,43.745951,47.290326,48.288570,44.754021,44.673016,45.573731,45.832347,50.323927,55.265938,52.004548,53.227336,54.131635,55.216251,52.212583,53.661034,48.449047,45.886706
15112,1024,0.300000,5.000000,0.010000,106.807191,101.254597,97.895031,97.224802,109.552506,114.792855,97.648764,108.645573,108.666165,116.239392,111.619134,99.013858,105.084961,101.682615,99.883251,107.540993,105.420453,117.003912,102.596242,120.772686,106.049044,97.854927,113.059126,103.489786,94.693861,105.185394,99.615179,108.893154,107.143775,106.404114
15112,5120,0.300000,5.000000,0.010000,220.305379,221.866925,218.103111,222.517297,222.613338,249.560636,216.065065,224.453711,240.552407,285.266260,213.130857,211.744720,216.884450,213.014277,223.065198,213.625952,214.407260,218.101412,227.814831,213.592976,208.547293,221.083001,222.409697,209.622978,211.834059,218.040351,209.524171,213.963487,218.902436,213.539323
15112,4096,0.300000,5.000000,0.010000,185.855666,193.643781,194.852832,195.985195,193.938028,190.064682,186.413943,193.907003,202.365263,197.400430,194.436375,188.221451,198.820444,191.552566,189.619516,191.070024,193.951224,191.435490,192.480067,192.275667,193.145787,203.750501,199.396653,191.165216,189.027856,191.413540,198.433762,190.031422,192.560977,200.302972
15112,3072,0.300000,5.000000,0.010000,165.218015,176.343279,168.656231,163.577568,160.032529,161.697205,166.635477,163.721518,159.603921,165.373219,163.847780,163.296976,166.489434,157.792587,164.031886,164.433897,173.161103,160.148072,159.267497,156.757548,159.412336,164.589455,170.570104,157.416221,155.537843,179.522563,166.840550,162.031631,165.650550,168.078634
15112,2048,0.300000,5.000000,0.010000,141.815435,131.296192,137.522740,144.456414,130.562968,131.060300,130.281531,135.781505,135.274275,130.092682,147.009863,137.528550,136.443384,143.674858,124.345281,130.453001,137.260207,132.017111,127.948181,132.552823,135.600483,128.789076,131.308891,132.320380,127.611115,130.653771,133.046358,136.621156,139.185928,132.174972
18512,1024,0.300000,5.000000,0.010000,116.764063,122.863563,122.848492,122.314478,114.749240,119.316812,119.262051,117.208370,117.943143,124.672025,116.419183,114.009269,123.796852,110.706002,112.291662,112.167453,136.057316,120.977134,112.895269,115.963046,116.459606,112.256758,119.988518,128.855025,114.318563,117.577604,117.114422,110.394315,119.982532,120.221992
18512,2048,0.300000,5.000000,0.010000,143.678959,140.943814,159.194995,145.926912,140.820006,155.733634,145.996390,151.107985,141.735674,140.533300,149.987658,147.637133,146.201067,144.564853,151.191815,141.538094,145.232831,148.080418,144.616131,147.523572,146.824511,142.677750,140.049842,144.518551,142.321683,146.836676,157.216139,144.590583,139.793241,143.291190
18512,5120,0.300000,5.000000,0.010000,236.621303,233.384827,233.920758,243.026983,253.122580,246.045208,240.063811,235.944016,233.899943,241.097830,242.468919,234.104204,242.982243,225.460533,232.432665,229.988826,236.726261,243.579492,257.507335,253.472918,239.154430,259.726566,237.678304,231.931049,225.628533,231.724463,231.072524,230.367915,229.013546,230.883333
18512,3072,0.300000,5.000000,0.010000,165.207989,168.910862,182.577275,174.673515,170.255183,184.716505,173.692066,176.591948,183.434551,165.843752,169.662539,173.628845,168.113130,173.829903,173.328752,166.959958,166.774088,169.827638,172.706326,168.535565,170.395426,167.517808,186.274771,176.244393,168.388458,175.199409,160.606610,164.006056,174.673709,175.612371
18512,4096,0.300000,5.000000,0.010000,208.926266,213.291589,202.906523,205.218133,203.933096,214.305137,199.416179,206.340083,196.866703,205.912690,209.236723,201.982648,205.007786,204.634428,209.597070,209.072858,214.654605,194.714611,207.798524,208.852183,202.067202,201.784085,203.341034,208.722078,216.305626,201.573548,210.479926,210.077851,203.891268,217.288436
