N,M,alpha,beta,e,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
4461,1024,0.300000,5.000000,0.010000,190054,190126,190008,190155,190075,189900,189882,189897,189842,190195,189882,189594,190041,190053,190745,190385,190046,189652,189243,190230,190521,190430,189472,190007,189672,190041,189733,188992,190029,189931
15112,1024,0.300000,5.000000,0.010000,1663588,1666625,1660841,1662062,1663011,1661948,1663376,1666765,1664169,1664241,1665574,1667308,1664974,1661879,1668215,1660957,1671423,1663308,1662810,1665230,1662605,1666732,1667566,1663158,1664672,1662061,1668816,1665877,1661481,1664341
15112,5120,0.300000,5.000000,0.010000,1643921,1643268,1643580,1643918,1644680,1642672,1641933,1644609,1640319,1640588,1643087,1644066,1640066,1642737,1638406,1642360,1641065,1640870,1643574,1642115,1643057,1643391,1639722,1645360,1643158,1640600,1644043,1643471,1643091,1640305
15112,4096,0.300000,5.000000,0.010000,1646979,1641736,1643452,1644207,1644819,1649053,1645587,1647693,1647558,1646901,1647351,1648643,1643954,1645070,1644692,1642078,1646672,1643144,1644398,1643074,1648230,1646705,1644459,1647801,1645378,1643682,1641947,1644018,1646383,1642126
15112,3072,0.300000,5.000000,0.010000,1651222,1649157,1649061,1647203,1650133,1652219,1647320,1645711,1645158,1647650,1647992,1648569,1649860,1650746,1652518,1646515,1650355,1647540,1646978,1644720,1647373,1648551,1647401,1649300,1650799,1651807,1646424,1648108,1646481,1649251
15112,2048,0.300000,5.000000,0.010000,1653592,1656697,1655444,1654854,1652781,1655492,1654993,1650962,1652159,1649397,1652102,1653596,1655728,1654430,1654841,1659082,1656898,1655119,1656073,1656010,1650819,1652775,1653480,1655112,1655226,1652431,1651696,1653684,1654559,1656680
18512,1024,0.300000,5.000000,0.010000,687335,684680,687781,686997,687458,684126,686082,687352,688202,685148,684334,685464,685140,686301,686415,686276,684372,684553,685418,686322,686419,685370,687032,687328,684296,684861,687460,685207,686751,687327
18512,2048,0.300000,5.000000,0.010000,680962,679749,684139,681692,680703,681962,681802,684150,679169,680349,681928,681676,681283,683291,681887,680385,685843,682823,681760,682017,682698,682365,680899,680445,680662,679229,679660,682156,681091,680714
18512,5120,0.300000,5.000000,0.010000,676482,675521,675951,674735,677348,678454,675562,675475,675031,677269,677462,679091,679909,675053,677215,674670,678724,676114,678759,675015,675101,675339,679712,678005,675951,677103,677991,676888,676725,675379
18512,3072,0.300000,5.000000,0.010000,677697,679000,680260,679252,680309,681282,678153,676653,678306,679227,679592,678432,679545,680508,681228,683144,678991,680035,678110,681103,679049,679630,678629,679462,678165,680441,677377,679443,678510,678524
18512,4096,0.300000,5.000000,0.010000,677882,677228,678367,679074,678247,675807,676488,676929,677094,679701,676865,676317,679026,678077,678458,681412,677723,676098,678920,677311,679001,678674,675297,680376,679084,677988,680405,678828,678152,676537

